isbn,publisher
978-843-120-510-084,Wiley
978-120-124-163-147,Elsevier
978-812-352-544-404,ACM
978-183-261-504-820,Wiley
978-324-340-163-310,IEEE
978-941-384-122-887,Wiley
978-412-444-782-230,Wiley
978-381-174-840-434,Springer
978-156-003-947-400,IEEE
978-320-227-483-752,Oxford University Press
978-446-243-193-890,ACM
978-904-703-247-125,IEEE
978-171-315-260-134,Springer
978-054-183-057-356,Springer
978-023-500-572-550,Oxford University Press
978-900-319-336-413,Oxford University Press
978-084-597-182-554,ACM
978-622-412-942-463,IEEE
978-345-197-287-584,IEEE
978-428-140-412-015,Springer
978-840-534-130-511,Wiley
978-528-241-903-256,Oxford University Press
978-025-327-382-250,Elsevier
978-131-224-410-054,Springer
978-674-732-575-508,IEEE
978-896-715-501-238,Springer
978-380-100-011-192,Elsevier
978-472-073-642-431,ACM
978-180-964-260-244,ACM
978-514-335-492-440,Springer
978-416-530-537-112,Springer
978-315-871-230-096,Wiley
978-104-323-428-265,Oxford University Press
978-685-031-470-099,ACM
978-911-131-436-322,IEEE
978-650-970-945-918,Wiley
978-536-009-243-345,Oxford University Press
978-512-545-510-304,Elsevier
978-506-632-105-645,ACM
978-961-307-782-254,Oxford University Press
978-052-743-484-180,IEEE
978-843-423-101-760,Springer
978-885-348-405-505,Springer
978-354-110-499-383,Springer
978-232-004-162-451,IEEE
978-230-554-048-207,Wiley
978-130-314-148-028,Wiley
978-360-052-014-379,Oxford University Press
978-066-345-403-455,Springer
978-140-353-361-853,Springer
978-178-741-236-402,Wiley
978-339-931-309-146,ACM
978-382-372-514-657,Springer
978-216-654-422-106,Elsevier
978-094-493-335-313,Oxford University Press
978-175-655-102-903,IEEE
978-539-080-262-021,IEEE
978-003-699-310-125,Springer
978-128-141-303-360,Oxford University Press
978-750-139-432-521,Oxford University Press
978-320-473-828-320,Springer
978-813-673-547-421,IEEE
978-396-221-848-939,Oxford University Press
978-053-363-109-211,IEEE
978-231-032-722-204,ACM
978-153-425-736-136,Elsevier
978-754-583-597-010,Wiley
978-241-975-632-683,Elsevier
978-024-183-441-543,Elsevier
978-075-481-204-510,ACM
978-628-928-258-334,Springer
978-703-534-553-811,Oxford University Press
978-551-343-192-405,Wiley
978-475-724-082-478,Wiley
978-012-622-382-340,Elsevier
978-022-718-356-035,Oxford University Press
978-415-620-258-861,Wiley
978-321-343-806-041,Elsevier
978-871-217-300-262,Elsevier
978-220-067-242-869,IEEE
978-719-133-714-928,Elsevier
978-336-202-553-380,Oxford University Press
978-024-522-181-052,ACM
978-087-971-371-152,Elsevier
978-340-019-256-156,Elsevier
978-605-335-017-023,IEEE
978-354-223-222-137,Oxford University Press
978-002-768-213-000,Springer
978-539-526-301-545,Oxford University Press
978-551-463-481-540,Springer
978-232-048-201-744,ACM
978-440-353-355-087,Oxford University Press
978-233-450-374-655,ACM
978-441-432-911-099,IEEE
978-202-563-006-911,Springer
978-101-243-840-040,ACM
978-124-520-592-423,IEEE
978-747-466-523-713,Springer
978-265-568-080-129,Springer
978-541-292-016-331,Springer
978-053-842-955-250,Oxford University Press
978-842-677-255-194,Elsevier
978-211-581-738-327,ACM
978-696-305-012-172,IEEE
978-030-518-945-645,ACM
978-434-274-362-233,Oxford University Press
978-559-540-540-449,IEEE
978-545-753-053-172,IEEE
978-401-581-085-303,Springer
978-354-513-056-058,ACM
978-331-513-294-000,Wiley
978-790-516-368-648,Springer
978-149-932-756-743,Wiley
978-138-024-762-723,Elsevier
978-715-740-604-341,Oxford University Press
978-541-353-375-613,Oxford University Press
978-534-036-088-074,ACM
978-234-708-181-055,Oxford University Press
978-603-546-723-461,Oxford University Press
978-001-853-544-548,IEEE
978-518-323-287-505,IEEE
978-499-683-342-729,Wiley
978-520-835-795-346,Oxford University Press
978-242-378-220-545,IEEE
978-540-556-134-762,Wiley
978-491-417-543-928,Springer
978-708-189-280-011,Elsevier
978-454-153-235-042,Springer
978-576-151-651-253,Wiley
978-708-023-356-222,Elsevier
978-595-210-404-975,Wiley
978-918-419-107-302,Wiley
978-821-492-913-894,Springer
978-347-552-373-318,Springer
978-502-593-903-956,IEEE
978-822-595-149-311,Wiley
978-740-005-433-445,Springer
978-323-515-806-958,Elsevier
978-369-144-235-339,Springer
978-205-133-713-424,ACM
978-988-720-742-715,Oxford University Press
978-935-472-610-173,IEEE
978-357-808-050-373,Elsevier
978-540-361-629-096,ACM
978-258-805-671-436,Springer
978-563-114-845-135,Elsevier
978-052-055-700-211,Oxford University Press
978-211-832-234-511,Elsevier
978-023-564-305-320,Wiley
978-411-325-456-513,Oxford University Press
978-501-636-555-369,Springer
978-820-318-556-283,ACM
978-029-032-251-104,Elsevier
978-842-890-148-294,Springer
978-633-101-143-297,Springer
978-216-002-622-037,Springer
978-049-214-052-464,IEEE
978-900-375-470-125,ACM
978-859-578-123-773,Oxford University Press
978-688-203-502-463,ACM
978-140-243-929-370,Wiley
978-333-328-525-155,Springer
978-016-319-907-030,Oxford University Press
978-903-402-211-317,Oxford University Press
978-408-939-965-301,Springer
978-922-266-225-101,ACM
978-961-144-960-046,ACM
978-175-434-828-138,Elsevier
978-005-632-503-202,Springer
978-469-892-261-595,ACM
978-064-942-438-153,Elsevier
978-955-008-514-541,IEEE
978-538-418-580-975,IEEE
978-944-224-237-504,ACM
978-951-054-751-260,IEEE
978-093-531-044-330,Elsevier
978-440-061-119-840,Elsevier
978-317-374-523-033,Wiley
978-350-352-234-272,ACM
978-580-025-872-813,Springer
978-094-200-102-583,IEEE
978-691-153-339-369,Wiley
978-479-283-138-454,ACM
978-000-124-853-642,ACM
978-450-002-349-905,IEEE
978-400-470-384-412,Elsevier
978-041-926-051-044,IEEE
978-457-105-463-547,ACM
978-755-536-554-435,Springer
978-804-802-208-943,Oxford University Press
978-533-354-570-187,Oxford University Press
978-368-152-852-431,IEEE
978-539-403-311-124,ACM
978-365-134-534-740,ACM
978-518-523-301-588,Springer
978-451-022-404-841,Oxford University Press
978-292-159-611-294,Wiley
978-751-254-343-049,Elsevier
978-752-397-800-927,Wiley
978-313-440-331-044,Wiley
978-394-083-820-050,Elsevier
978-215-020-240-221,IEEE
978-496-883-918-203,Wiley
978-552-730-346-449,Wiley
978-041-036-724-756,Wiley
978-802-927-471-420,Elsevier
978-320-282-104-891,Elsevier
978-758-435-983-723,Elsevier
978-423-152-223-431,Elsevier
978-170-101-434-771,Oxford University Press
978-779-319-341-938,IEEE
978-510-420-248-180,Wiley
978-043-046-525-263,IEEE
978-511-055-033-451,Oxford University Press
978-705-148-465-988,Elsevier
978-879-720-172-233,Springer
978-508-715-244-331,Wiley
978-941-541-392-986,Oxford University Press
978-146-284-117-555,ACM
978-066-471-235-210,ACM
978-689-336-409-088,ACM
978-258-357-360-000,Elsevier
978-789-884-435-982,IEEE
978-131-617-384-493,IEEE
978-243-739-600-522,Springer
978-623-070-372-263,IEEE
978-182-208-933-041,Elsevier
978-653-245-431-940,Elsevier
978-911-488-165-436,ACM
978-910-051-464-353,Elsevier
978-583-966-134-396,Wiley
978-125-055-713-659,Wiley
978-025-326-783-459,ACM
978-339-465-422-514,IEEE
978-450-531-514-235,Springer
978-261-790-458-829,Elsevier
978-460-374-385-057,Springer
978-888-185-179-130,Wiley
978-100-203-321-948,Wiley
978-883-094-028-342,Springer
978-380-644-030-241,Wiley
978-396-022-330-638,Oxford University Press
978-315-831-060-257,ACM
978-302-157-573-236,IEEE
978-220-222-318-034,ACM
978-324-607-613-033,Oxford University Press
978-440-504-255-354,Springer
978-235-312-314-263,Elsevier
978-938-487-010-616,IEEE
978-891-433-025-091,IEEE
978-317-232-412-709,Springer
978-765-411-415-995,IEEE
978-651-101-015-414,IEEE
978-875-425-725-818,Oxford University Press
978-502-351-197-495,Oxford University Press
978-115-215-694-593,Elsevier
978-318-225-855-517,Oxford University Press
978-447-040-538-550,IEEE
978-558-474-216-911,IEEE
978-319-228-049-684,Elsevier
978-002-737-331-663,Elsevier
978-331-518-366-472,IEEE
978-616-414-911-041,Wiley
978-280-103-008-950,Wiley
978-420-556-416-571,Wiley
978-890-394-023-579,Oxford University Press
978-328-378-542-407,Elsevier
978-401-743-075-142,Wiley
978-571-796-278-445,Wiley
978-161-737-148-444,Wiley
978-323-202-456-151,Springer
978-913-612-508-985,Elsevier
978-052-362-451-527,Oxford University Press
978-410-147-625-218,Elsevier
978-181-486-704-132,Wiley
978-318-532-756-556,ACM
978-100-041-143-211,Wiley
978-650-134-327-920,ACM
978-160-751-225-085,Elsevier
978-000-872-033-786,Elsevier
978-921-055-810-426,Elsevier
978-323-860-562-953,Springer
978-545-701-573-455,Wiley
978-025-937-810-615,IEEE
978-054-131-206-116,ACM
978-343-125-234-786,ACM
978-733-691-640-426,ACM
978-214-304-859-280,Wiley
978-442-231-642-204,ACM
978-663-425-736-028,IEEE
978-171-534-482-765,Oxford University Press
978-158-821-005-055,Springer
978-478-536-940-658,Wiley
978-050-460-011-074,Elsevier
978-732-252-123-501,Elsevier
978-254-031-080-854,Springer
978-668-131-625-120,Wiley
978-639-801-954-075,Oxford University Press
978-355-331-553-363,Oxford University Press
978-051-750-048-294,Oxford University Press
978-282-750-539-554,Oxford University Press
978-254-151-374-437,IEEE
978-481-850-424-552,Wiley
978-013-553-042-789,Wiley
978-403-453-102-691,Oxford University Press
978-125-866-585-041,Springer
978-950-313-312-131,Oxford University Press
978-157-005-815-202,ACM
978-208-741-842-941,IEEE
978-513-962-021-664,Oxford University Press
978-345-619-775-044,Oxford University Press
978-673-692-033-532,Oxford University Press
978-301-150-961-551,ACM
978-269-453-936-493,ACM
978-995-053-106-144,ACM
978-403-110-590-317,Wiley
978-682-863-311-203,Elsevier
978-153-767-171-422,Oxford University Press
978-706-834-113-842,Oxford University Press
978-241-530-056-122,IEEE
978-013-070-301-822,Elsevier
978-031-013-431-402,Springer
978-146-415-220-733,Springer
978-234-540-260-244,ACM
978-563-450-212-218,IEEE
978-932-204-022-409,ACM
978-725-504-272-075,Wiley
978-255-232-382-477,Wiley
978-251-211-415-474,ACM
978-753-018-402-029,Oxford University Press
978-269-300-322-141,Oxford University Press
978-300-162-902-123,Oxford University Press
978-647-923-155-275,Elsevier
978-146-080-309-112,Springer
978-434-253-551-623,Wiley
978-911-758-334-012,Springer
978-784-130-583-741,IEEE
978-363-358-625-445,Springer
978-691-095-022-619,Oxford University Press
978-722-555-673-154,Oxford University Press
978-923-082-032-810,Wiley
978-163-322-825-357,ACM
978-846-426-893-481,IEEE
978-875-945-698-307,Oxford University Press
978-272-753-914-391,Springer
978-281-556-074-253,Wiley
978-095-459-311-830,Oxford University Press
978-593-616-301-027,Oxford University Press
978-544-507-123-417,Springer
978-510-504-036-456,Wiley
978-033-414-862-951,Springer
978-604-231-054-215,Oxford University Press
978-650-815-616-034,ACM
978-583-924-411-854,ACM
978-538-154-146-440,Oxford University Press
978-642-144-447-405,IEEE
978-706-023-096-038,Oxford University Press
978-051-114-220-301,Elsevier
978-599-324-158-133,Oxford University Press
978-134-101-410-028,ACM
978-654-721-832-092,Wiley
978-194-516-263-116,Elsevier
978-246-449-362-568,ACM
978-522-380-158-031,Springer
978-310-731-253-978,Wiley
978-220-101-051-571,Springer
978-070-106-476-950,Oxford University Press
978-580-152-433-463,Springer
978-986-581-722-141,Elsevier
978-440-288-952-855,Oxford University Press
978-084-255-719-667,Wiley
978-931-333-294-061,IEEE
978-358-134-355-646,Springer
978-210-804-513-462,Elsevier
978-625-381-085-355,ACM
978-543-610-058-619,Elsevier
978-616-551-711-093,Elsevier
978-084-494-530-550,Springer
978-855-527-970-212,IEEE
978-242-424-125-215,Elsevier
978-310-375-000-600,IEEE
978-922-786-766-133,Elsevier
978-015-918-333-063,Elsevier
978-328-515-483-279,Elsevier
978-244-070-574-227,Springer
978-340-541-810-500,Springer
978-974-008-702-018,Wiley
978-379-617-115-496,Wiley
978-595-745-324-251,Wiley
978-535-718-245-348,IEEE
978-118-145-051-445,ACM
978-565-624-873-905,Oxford University Press
978-279-216-118-370,IEEE
978-307-430-402-248,Elsevier
978-438-514-411-879,Springer
978-299-462-446-121,Elsevier
978-823-000-294-816,IEEE
978-330-017-158-951,IEEE
978-321-118-513-001,Springer
978-844-344-042-706,Elsevier
978-150-810-939-704,IEEE
978-253-115-502-912,Springer
978-045-110-080-777,ACM
978-227-740-042-883,ACM
978-587-221-855-205,IEEE
978-328-703-042-022,Oxford University Press
978-523-350-184-911,IEEE
978-712-302-723-234,Oxford University Press
978-008-733-963-225,Oxford University Press
978-181-153-651-363,ACM
978-432-543-300-303,ACM
978-620-574-253-145,Oxford University Press
978-003-143-136-319,Wiley
978-036-013-844-440,Elsevier
978-205-407-006-459,Oxford University Press
978-209-034-605-231,ACM
978-268-413-313-230,Springer
978-151-446-739-533,Springer
978-363-455-212-416,ACM
978-894-278-479-595,ACM
978-441-525-377-505,Springer
978-417-385-705-056,Oxford University Press
978-014-042-738-243,ACM
978-331-178-031-213,Elsevier
978-909-522-703-343,Wiley
978-242-030-034-380,ACM
978-595-181-529-014,Elsevier
978-254-861-448-150,Wiley
978-436-462-188-022,Wiley
978-307-214-112-252,Oxford University Press
978-452-724-340-054,ACM
978-550-835-704-888,Elsevier
978-009-292-100-093,Springer
978-163-140-518-641,Springer
978-852-339-131-518,Oxford University Press
978-237-449-256-674,Oxford University Press
978-015-131-654-554,Springer
978-312-981-021-252,ACM
978-233-269-285-750,ACM
978-352-264-065-033,Springer
978-744-525-567-116,ACM
978-561-545-852-730,IEEE
978-220-400-234-722,Oxford University Press
978-224-631-345-554,Elsevier
978-361-317-321-541,ACM
978-730-239-412-003,Oxford University Press
978-961-860-312-134,ACM
978-703-117-913-044,Springer
978-922-479-215-544,Elsevier
978-771-484-748-350,Oxford University Press
978-135-363-457-056,Elsevier
978-486-179-367-022,Oxford University Press
978-920-794-874-563,Oxford University Press
978-534-355-375-872,Wiley
978-410-272-085-478,Springer
978-508-644-006-338,Elsevier
978-752-944-293-468,Elsevier
978-012-241-547-024,Springer
978-186-623-049-209,Wiley
978-214-331-721-153,ACM
978-984-107-511-574,ACM
978-094-300-026-290,Elsevier
978-545-363-552-012,Oxford University Press
978-392-933-218-553,Elsevier
978-400-193-351-245,Oxford University Press
978-309-380-351-485,Elsevier
978-556-402-056-778,IEEE
978-312-434-050-063,IEEE
978-474-658-583-126,IEEE
978-204-711-237-339,Springer
978-421-233-149-231,Oxford University Press
978-104-249-057-612,Springer
978-316-700-443-440,Springer
978-630-501-363-260,IEEE
978-101-903-298-485,IEEE
978-540-654-001-914,Springer
978-497-560-962-973,Elsevier
978-735-546-344-402,Oxford University Press
978-850-177-294-694,Springer
978-473-113-045-031,IEEE
978-862-680-995-224,IEEE
978-763-226-527-020,Oxford University Press
978-348-753-228-057,IEEE
978-481-509-324-112,IEEE
978-679-388-508-217,ACM
978-556-026-386-360,Wiley
978-739-905-127-351,IEEE
978-620-035-735-508,Springer
978-075-345-234-414,ACM
978-302-613-572-302,IEEE
978-361-371-025-672,Oxford University Press
978-031-829-208-452,IEEE
978-162-124-139-918,IEEE
978-906-948-005-441,Elsevier
978-452-642-952-159,Springer
978-215-580-155-827,ACM
978-257-224-541-822,Wiley
978-565-222-167-640,Oxford University Press
978-663-428-796-838,Wiley
978-325-122-800-182,Wiley
978-432-103-933-932,IEEE
978-407-539-019-277,IEEE
978-420-370-845-510,Wiley
978-217-407-780-723,Wiley
978-340-505-697-952,Wiley
978-837-548-143-014,Oxford University Press
978-908-224-905-450,ACM
978-020-309-596-342,IEEE
978-337-515-555-103,ACM
978-421-691-123-031,ACM
978-844-241-184-352,Springer
978-103-754-300-462,Elsevier
978-612-524-131-221,IEEE
978-165-851-253-641,Elsevier
978-280-626-359-019,IEEE
978-794-750-539-039,Elsevier
978-039-265-109-000,IEEE
978-426-181-975-530,Wiley
978-827-059-022-082,IEEE
978-000-344-446-880,Springer
978-712-366-498-295,IEEE
978-232-961-313-361,Elsevier
978-452-353-356-430,Springer
978-436-247-356-351,Elsevier
978-685-575-678-104,IEEE
978-630-054-424-610,IEEE
978-801-613-536-089,Elsevier
978-339-243-515-441,Wiley
978-209-166-351-540,ACM
978-513-086-181-090,ACM
978-740-453-411-416,Elsevier
978-324-124-229-140,Springer
978-447-822-864-576,IEEE
978-158-197-496-254,Springer
978-127-045-590-550,Springer
978-507-345-845-715,Springer
978-053-331-001-744,ACM
978-065-356-932-553,Oxford University Press
978-205-502-401-614,Springer
978-401-902-246-520,Oxford University Press
978-419-485-124-132,Wiley
978-131-531-515-216,Oxford University Press
978-210-423-309-042,Elsevier
978-220-024-017-535,Oxford University Press
978-645-525-020-679,ACM
978-574-481-626-256,ACM
978-114-681-453-171,Oxford University Press
978-635-582-727-353,Elsevier
978-320-713-653-325,Oxford University Press
978-408-563-257-465,IEEE
978-837-635-413-042,ACM
978-423-512-149-007,Springer
978-408-918-315-520,Springer
978-724-200-659-057,ACM
978-616-835-255-319,IEEE
978-553-383-310-360,Elsevier
978-492-342-009-631,Elsevier
978-339-131-766-545,Elsevier
978-225-868-008-463,Oxford University Press
978-596-509-633-292,ACM
978-072-245-961-020,Oxford University Press
978-049-620-957-413,IEEE
978-355-890-114-583,ACM
978-573-252-341-020,Oxford University Press
978-410-055-070-435,Springer
978-255-270-114-570,Wiley
978-293-909-152-497,Wiley
978-449-038-044-246,Oxford University Press
978-570-461-065-411,IEEE
978-482-433-775-804,IEEE
978-287-947-251-847,Springer
978-512-248-505-261,Oxford University Press
978-790-670-035-207,Wiley
978-820-914-714-651,IEEE
978-904-370-412-493,Springer
978-450-190-406-710,IEEE
978-284-557-412-830,Wiley
978-583-509-336-435,Wiley
978-029-571-734-786,Oxford University Press
978-323-243-362-693,ACM
978-423-248-204-143,IEEE
978-792-174-902-474,Springer
978-270-500-994-443,Elsevier
978-082-804-334-121,Wiley
978-310-534-189-255,Springer
978-023-413-421-108,Springer
978-011-047-730-530,Springer
978-196-930-736-628,Oxford University Press
978-337-455-283-754,Springer
978-204-457-215-171,Elsevier
978-065-521-436-622,Oxford University Press
978-596-153-035-326,ACM
978-412-992-675-112,Wiley
978-519-354-228-433,Wiley
978-412-001-021-017,ACM
978-018-026-832-049,Oxford University Press
978-931-209-265-629,Oxford University Press
978-255-157-452-981,Wiley
978-514-235-757-020,Wiley
978-612-531-521-235,ACM
978-914-459-458-574,IEEE
978-331-444-441-101,Springer
978-469-651-632-600,IEEE
978-200-658-103-510,Elsevier
978-473-861-615-125,ACM
978-457-019-702-622,Springer
978-350-164-920-428,IEEE
978-174-031-625-350,Springer
978-329-076-027-241,Elsevier
978-242-640-433-402,Wiley
978-033-590-510-541,Wiley
978-480-341-357-546,ACM
978-442-395-224-037,Elsevier
978-729-981-191-031,Oxford University Press
978-289-963-351-341,Oxford University Press
978-273-412-706-501,IEEE
978-233-558-253-606,ACM
978-423-350-579-454,Oxford University Press
978-129-553-431-831,Springer
978-204-689-210-551,ACM
978-718-253-431-402,ACM
978-114-830-111-244,Wiley
978-229-315-843-871,IEEE
978-572-410-115-544,ACM
978-141-320-179-484,ACM
978-935-010-504-540,Oxford University Press
978-822-569-161-445,Elsevier
978-200-135-150-570,Springer
978-395-633-457-278,Oxford University Press
978-310-656-346-673,Springer
978-533-040-233-656,ACM
978-804-042-401-412,Elsevier
978-019-039-630-842,Springer
978-011-972-370-514,ACM
978-113-901-761-194,Wiley
978-046-850-802-564,Springer
978-311-601-471-081,Elsevier
978-354-524-192-494,IEEE
978-561-664-508-115,Wiley
978-335-300-086-564,Wiley
978-620-855-804-032,Springer
978-059-215-000-338,Wiley
978-036-150-123-160,ACM
978-574-321-839-129,Springer
978-340-393-043-627,ACM
978-423-455-010-903,ACM
978-615-531-105-452,Springer
978-432-607-467-221,ACM
978-057-012-104-055,ACM
978-346-680-426-058,IEEE
978-555-208-232-394,IEEE
978-537-517-090-360,IEEE
978-300-922-422-804,Elsevier
978-035-201-440-852,Wiley
978-145-468-830-062,ACM
978-669-948-535-234,Elsevier
978-716-443-957-990,ACM
978-521-044-984-484,Elsevier
978-010-301-597-521,Wiley
978-280-433-124-220,Springer
978-337-054-928-484,Wiley
978-221-229-204-602,Wiley
978-335-562-008-163,Oxford University Press
978-863-931-810-221,ACM
978-561-500-573-647,IEEE
978-506-488-820-434,Springer
978-551-024-400-142,ACM
978-733-097-552-455,Wiley
978-481-234-132-324,ACM
978-333-413-225-752,Wiley
978-258-204-443-532,ACM
978-245-750-271-360,ACM
978-207-287-538-534,Oxford University Press
978-220-304-594-085,IEEE
978-504-073-600-495,ACM
978-427-242-783-991,Wiley
978-082-340-392-833,Elsevier
978-100-069-275-383,Oxford University Press
978-293-195-936-228,Oxford University Press
978-835-363-518-355,Wiley
978-311-520-353-202,Springer
978-013-124-545-525,IEEE
978-898-204-186-302,IEEE
978-305-040-445-524,Wiley
978-525-488-954-923,Oxford University Press
978-895-340-136-474,Springer
978-445-344-044-677,Springer
978-306-704-524-122,Elsevier
978-123-161-252-555,Wiley
978-377-451-802-522,Springer
978-550-201-603-603,Springer
978-616-321-487-443,Elsevier
978-193-222-839-905,Oxford University Press
978-355-844-207-085,Oxford University Press
978-443-154-112-055,Oxford University Press
978-133-010-270-107,Oxford University Press
978-409-394-633-423,Elsevier
978-488-265-505-131,IEEE
978-664-195-833-186,Wiley
978-576-132-980-762,Elsevier
978-853-600-245-152,Oxford University Press
978-300-388-424-405,Wiley
978-775-420-121-947,ACM
978-086-633-042-293,IEEE
978-456-900-305-053,IEEE
978-137-542-964-578,Elsevier
978-235-440-255-325,Oxford University Press
978-432-135-237-360,IEEE
978-221-196-672-967,ACM
978-320-350-150-434,Springer
978-039-796-339-191,Wiley
978-735-244-512-111,IEEE
978-523-720-115-091,Oxford University Press
978-313-336-019-523,Oxford University Press
978-594-933-467-428,Elsevier
978-213-368-382-515,Elsevier
978-486-378-362-277,Elsevier
978-464-558-124-509,Elsevier
978-214-818-241-533,Wiley
978-710-539-264-242,Springer
978-013-003-168-783,ACM
978-425-542-163-222,Oxford University Press
978-593-439-302-814,IEEE
978-483-753-537-156,IEEE
978-438-707-011-983,Oxford University Press
978-151-747-388-095,Elsevier
978-305-461-304-252,Springer
978-355-862-515-122,Springer
978-015-417-510-415,ACM
978-072-254-332-520,Wiley
978-142-150-892-020,Oxford University Press
978-518-914-853-565,Elsevier
978-664-575-343-430,Oxford University Press
978-092-147-919-141,IEEE
978-343-920-433-732,Oxford University Press
978-578-441-132-820,Wiley
978-186-125-220-106,ACM
978-690-128-974-852,Elsevier
978-233-550-101-050,Elsevier
978-370-639-907-329,Elsevier
978-633-354-155-512,Wiley
978-025-120-024-944,Oxford University Press
978-521-998-401-074,Wiley
978-443-030-323-133,Oxford University Press
978-943-210-528-151,ACM
978-290-022-819-856,Elsevier
978-479-058-331-012,IEEE
978-057-543-195-531,Springer
978-724-534-022-146,Wiley
978-044-308-624-513,Wiley
978-491-910-953-531,Oxford University Press
978-361-115-000-051,ACM
978-820-238-958-361,Wiley
978-200-055-041-352,Springer
978-515-005-271-340,Oxford University Press
978-537-333-953-131,Wiley
978-146-305-734-409,Oxford University Press
978-453-500-154-901,IEEE
978-519-331-499-828,Oxford University Press
978-919-739-150-104,Elsevier
978-964-856-421-842,Elsevier
978-603-754-422-360,Wiley
978-437-131-107-400,Elsevier
978-150-520-385-261,Wiley
978-172-210-447-194,Elsevier
978-324-147-611-458,IEEE
978-208-422-441-052,IEEE
978-858-719-575-363,Oxford University Press
978-356-224-580-005,Springer
978-088-346-184-108,Oxford University Press
978-045-740-065-213,Oxford University Press
978-035-251-952-150,IEEE
978-135-582-752-517,Springer
978-027-520-116-014,Wiley
978-042-371-245-974,Springer
978-259-552-733-566,Oxford University Press
978-505-935-104-250,Springer
978-250-142-003-592,ACM
978-275-520-808-578,Elsevier
