proceedingId,editionNumber,year,city
"proceeding::acm sigmobile international conference on mobile systems, applications, and services::2012",2012,2012,
proceeding::(jems) jurnal entrepreneur dan manajemen sains::2022,2022,2022,
proceeding::iet renewable power generation::2019,2019,2019,
proceeding::earth systems and environment::2025,2025,2025,
proceeding::marine policy::2022,2022,2022,
proceeding::video journal of biomedicine::2023,2023,2023,
"proceeding::2025 5th international conference on innovative research in applied science, engineering and technology (iraset)::2025",2025,2025,
proceeding::2014 ieee international conference on pervasive computing and communication workshops (percom workshops)::2014,2014,2014,
proceeding::proceedings of the 2019 european conference on computing in construction::2019,2019,2019,
proceeding::ukrainian journal on library and information science::2018,2018,2018,
proceeding::2020 5th international conference on electromechanical control technology and transportation (icectt)::2020,2020,2020,
proceeding::journal of hypertension::2023,2023,2023,
proceeding::weed science::1996,1996,1996,
proceeding::asian-australasian journal of food safety and security::2020,2020,2020,
proceeding::forests::2019,2019,2019,
proceeding::international journal of agriculture environment and bioresearch::2020,2020,2020,
proceeding::anesthesia and analgesia::2019,2019,2019,
proceeding::british journal of surgery::2021,2021,2021,
proceeding::international conference on intelligent cloud computing::2025,2025,2025,
proceeding::british journal of dermatology::2000,2000,2000,
proceeding::problems and perspectives in management::2023,2023,2023,
proceeding::kanzo::2021,2021,2021,
proceeding::fisheries research::2018,2018,2018,
proceeding::indian journal of neurotrauma::2021,2021,2021,
proceeding::journal of the japanese association of rural medicine::2019,2019,2019,
proceeding::internal medicine journal (print)::2015,2015,2015,
proceeding::jane - jurnal administrasi negara::2022,2022,2022,
proceeding::frontiers in oncology::2021,2021,2021,
proceeding::international journal of productivity and performance management::2022,2022,2022,
proceeding::bmc medical education::2020,2020,2020,
proceeding::lecture notes in computer science::1996,1996,1996,
proceeding::lékař a technika::2020,2020,2020,
proceeding::transportation research part c: emerging technologies::2019,2019,2019,
"proceeding::ieee uttar pradesh section international conference on electrical, computer and electronics engineering::2021",2021,2021,
proceeding::the international journal of science and society::2022,2022,2022,
proceeding::intelligent systems and networks::2021,2021,2021,
proceeding::diversity::2023,2023,2023,
"proceeding::nephrology, dialysis and transplantation::2020",2020,2020,
proceeding::american journal of industrial and business management::2022,2022,2022,
proceeding::journal of soil and water conservation::2011,2011,2011,
proceeding::jurnal manajemen agribisnis (journal of agribusiness management)::2021,2021,2021,
proceeding::apcc/mdmc '04. the 2004 joint conference of the 10th asia-pacific conference on communications and the 5th international symposium on multi-dimensional mobile communications proceeding::2004,2004,2004,
proceeding::proceedings of the 8th international congress on environmental geotechnics volume 2::2018,2018,2018,
proceeding::applied sciences::2022,2022,2022,
proceeding::lecture notes in computer science::2003,2003,2003,
"proceeding::2009 ieee international symposium on a world of wireless, mobile and multimedia networks & workshops::2009",2009,2009,
proceeding::revista argentina de cardiología::2018,2018,2018,
proceeding::tree genetics & genomes::2014,2014,2014,
proceeding::osteoporosis international::2017,2017,2017,
proceeding::european journal of forest research::2012,2012,2012,
proceeding::nature genetics::1998,1998,1998,
proceeding::revista amazonía investiga::2021,2021,2021,
proceeding::proceedings of the 6th international conference on management science and management innovation (msmi 2019)::2019,2019,2019,
proceeding::international workshop on quality of service::2010,2010,2010,
proceeding::2025 7th international conference on electrical engineering and control technologies (ceect)::2025,2025,2025,
"proceeding::international conference on wireless communications, networking and mobile computing::2008",2008,2008,
proceeding::zbornik radova::2024,2024,2024,
proceeding::bmj global health::2016,2016,2016,
proceeding::revista interamericana de bibliotecología::2018,2018,2018,
proceeding::indian journal of gastroenterology::2021,2021,2021,
proceeding::cases on digital strategies and management issues in modern organizations::2022,2022,2022,
proceeding::journal of pure and applied microbiology::2021,2021,2021,
proceeding::international journal of academic research in business and social sciences::2019,2019,2019,
proceeding::jurnal teknologi  dan sistem informasi bisnis::2021,2021,2021,
proceeding::new directions in cultural policy research::2021,2021,2021,
proceeding::asia pacific journal of tourism research::2018,2018,2018,
"proceeding::international conference on intelligent transportation, big data and smart city::2020",2020,2020,
proceeding::international journal of ethics and systems::2021,2021,2021,
proceeding::gut::2012,2012,2012,
proceeding::hydrobiologia::2005,2005,2005,
proceeding::pharmaceutical medicine::2020,2020,2020,
proceeding::ieee conference of russian young researchers in electrical and electronic engineering::2019,2019,2019,
proceeding::international journal of advances in scientific research and engineering::2019,2019,2019,
proceeding::african journal of range and forage science::2020,2020,2020,
proceeding::hydrobiologia::2002,2002,2002,
proceeding::simulations in medicine::2020,2020,2020,
proceeding::le journal de la renaissance::2018,2018,2018,
proceeding::aquatic sciences::2015,2015,2015,
proceeding::anesthesia and analgesia::1999,1999,1999,
proceeding::journal of contingencies and crisis management::2020,2020,2020,
proceeding::highlights in science engineering and technology::2022,2022,2022,
"proceeding::2012 international conference on smart grid technology, economics and policies (sg-tep)::2012",2012,2012,
proceeding::agricultural water management::2018,2018,2018,
proceeding::international journal artificial intelligent and informatics::2018,2018,2018,
proceeding::jurnal basicedu::2021,2021,2021,
proceeding::south florida journal of development::2021,2021,2021,
proceeding::thermal science::2020,2020,2020,
proceeding::international journal of advanced research::2023,2023,2023,
proceeding::sustainability::2021,2021,2021,
proceeding::teaching english and language learning english journal (telle)::2021,2021,2021,
proceeding::bmj supportive & palliative care::2014,2014,2014,
proceeding::journal of pharmaceutical research international::2021,2021,2021,
proceeding::journal of soil and water conservation::2019,2019,2019,
proceeding::pharmaceutical & diagnostic innovation::2012,2012,2012,
"proceeding::journal of the geographical institute jovan cvijic, sasa::2019",2019,2019,
proceeding::ssr institute of international journal of life sciences::2019,2019,2019,
proceeding::agricultural science::2021,2021,2021,
proceeding::e3s web of conferences::2020,2020,2020,
proceeding::american journal of perinatology reports::2019,2019,2019,
proceeding::british medical journal::2003,2003,2003,
proceeding::2025 ieee 5th international conference on sustainable energy and future electric transportation (sefet)::2025,2025,2025,
proceeding::cdmw '12::2012,2012,2012,
"proceeding::synergizing management, technology and innovation in generating sustainable and competitive business growth::2021",2021,2021,
"proceeding::the journal of nutrition, health & aging::2020",2020,2020,
proceeding::proceedings of the 2024 6th blockchain and internet of things conference::2024,2024,2024,
proceeding::biodiversity information science and standards::2019,2019,2019,
proceeding::iforest : biogeosciences and forestry::2018,2018,2018,
"proceeding::2025 2nd international conference on software, systems and information technology (ssitcon)::2025",2025,2025,
proceeding::rheumatology::2019,2019,2019,
"proceeding::sustainability accounting, management and policy journal::2023",2023,2023,
proceeding::north american journal of fisheries management::2018,2018,2018,
proceeding::iop conference series: earth and environment::2019,2019,2019,
proceeding::cureus::2021,2021,2021,
proceeding::free radical biology & medicine::2020,2020,2020,
proceeding::cardiovascular and interventional radiology::2017,2017,2017,
proceeding::water::2020,2020,2020,
proceeding::abi-technik::2021,2021,2021,
"proceeding::industrielle beziehungen. zeitschrift für arbeit, organisation und management::2022",2022,2022,
proceeding::technical  mechanics::2021,2021,2021,
proceeding::proceedings of the international academic conference on frontiers in social sciences and management innovation (iafsm 2019)::2020,2020,2020,
proceeding::proceedings of the 29th eg-ice international workshop on intelligent computing in engineering::2022,2022,2022,
proceeding::encyclopedia of personality and individual differences::2020,2020,2020,
proceeding::future foods::2021,2021,2021,
proceeding::international journal of current science research and review::2022,2022,2022,
proceeding::international conference on measuring technology and mechatronics automation::2016,2016,2016,
proceeding::information security solutions europe::2012,2012,2012,
proceeding::e3s web of conferences::2021,2021,2021,
proceeding::systems and information engineering design symposium::2024,2024,2024,
"proceeding::2021 9th international conference on reliability, infocom technologies and optimization (trends and future directions) (icrito)::2021",2021,2021,
proceeding::the jps jewish heritage torah commentary::2021,2021,2021,
proceeding::2017 23rd annual international conference in advanced computing and communications (adcom)::2017,2017,2017,
proceeding::ieee international conference on industrial engineering and engineering management::2009,2009,2009,
proceeding::energies::2018,2018,2018,
proceeding::applied sciences::2020,2020,2020,
proceeding::international journal of technology assessment in health care::2019,2019,2019,
proceeding::agronomy::2020,2020,2020,
"proceeding::2023 ieee international conference on electrical, automation and computer engineering (iceace)::2023",2023,2023,
proceeding::international conference on industrial mechatronics and automation::2010,2010,2010,
proceeding::gut::2022,2022,2022,
proceeding::journal of applied ecology::2020,2020,2020,
proceeding::british journal of healthcare management::2021,2021,2021,
proceeding::journal of hydrology::2018,2018,2018,
proceeding::2012 international conference on computer vision in remote sensing::2012,2012,2012,
proceeding::designs::2022,2022,2022,
proceeding::innovation in aging::2019,2019,2019,
proceeding::photonics europe::2010,2010,2010,
proceeding::coral reefs::2005,2005,2005,
proceeding::herpetological monographs::2017,2017,2017,
proceeding::biorxiv::2019,2019,2019,
proceeding::proceedings of the international scientific and practical conference strategy of development of regional ecosystems “education-science-industry” (ispcr 2021)::2022,2022,2022,
proceeding::asian journal of agricultural extension economics & sociology::2019,2019,2019,
proceeding::journal of physics: conference series::2019,2019,2019,
proceeding::british journal of surgery::2022,2022,2022,
proceeding::chemical engineering research & design::2018,2018,2018,
proceeding::pakistan journal of medical &amp; health sciences::2022,2022,2022,
proceeding::proceedings of the 2025 international conference on economic management and big data application::2025,2025,2025,
proceeding::archives of physical medicine and rehabilitation::2022,2022,2022,
proceeding::logistik im wandel der zeit – von der produktionssteuerung zu vernetzten supply chains::2019,2019,2019,
proceeding::international conference on recent trends in information technology::2011,2011,2011,
proceeding::journal of lightwave technology::2016,2016,2016,
proceeding::geological society london engineering geology special publications::1996,1996,1996,
proceeding::2024 opju international technology conference (otcon) on smart computing for innovation and advancement in industry 4.0::2024,2024,2024,
proceeding::2025 world skills conference on universal data analytics and sciences (worldsuas)::2025,2025,2025,
proceeding::neurology clinical practice::2017,2017,2017,
proceeding::veterinary anatomy and physiology::2019,2019,2019,
"proceeding::2021 joint international conference on digital arts, media and technology with ecti northern section conference on electrical, electronics, computer and telecommunication engineering::2021",2021,2021,
proceeding::european urology::2011,2011,2011,
proceeding::2023 8th international conference on cloud computing and big data analytics (icccbda)::2023,2023,2023,
proceeding::czech journal of civil engineering::2017,2017,2017,
proceeding::international journal of entertainment technology and management::2020,2020,2020,
proceeding::international symposium on medical simulation::2013,2013,2013,
proceeding::online international conference on green engineering and technologies::2016,2016,2016,
"proceeding::proceedings. 2005 ieee intelligent transportation systems, 2005.::2005",2005,2005,
proceeding::international conference on advanced communication technology::2008,2008,2008,
proceeding::2025 11th international conference on wireless and telematics (icwt)::2025,2025,2025,
proceeding::asian test symposium::2018,2018,2018,
proceeding::international journal of computer trends and technology::2019,2019,2019,
"proceeding::international conference on cryptography, security and privacy::2015",2015,2015,
proceeding::open forum infectious diseases::2019,2019,2019,
proceeding::ieee india conference::2013,2013,2013,
proceeding::international workshop on the semantic web::2013,2013,2013,
proceeding::international conference on informatics and analytics::2008,2008,2008,
proceeding::sustainability science::2020,2020,2020,
proceeding::world congress on information and communication technologies::2011,2011,2011,
"proceeding::international workshop on databases, information systems, and peer-to-peer computing::2005",2005,2005,
proceeding::icpr workshops::2021,2021,2021,
proceeding::international conference on advances in ict for emerging regions::2016,2016,2016,
proceeding::acm sigspatial international workshop on advances in geographic information systems::2011,2011,2011,
proceeding::international workshop on semantic evaluation::2022,2022,2022,
proceeding::2007 ieee international workshop on databases for next generation researchers::2007,2007,2007,
proceeding::acm sigspatial international workshop on advances in geographic information systems::2002,2002,2002,
proceeding::workshop on computational geometry::1991,1991,1991,
proceeding::2021 2nd international conference on secure cyber computing and communications (icsccc)::2021,2021,2021,
proceeding::journal of clinical oncology::2019,2019,2019,
proceeding::international conference on neural networks and brain::2005,2005,2005,
proceeding::2014 ieee international conference on data mining workshop::2014,2014,2014,
"proceeding::international conference on modeling, simulation, and applied optimization::2017",2017,2017,
proceeding::annals of internal medicine::1993,1993,1993,
proceeding::international conferences on biomedical and bioinformatics engineering::2009,2009,2009,
proceeding::encyclopedia of data warehousing and mining::2009,2009,2009,
proceeding::confluence::2020,2020,2020,
proceeding::2015 international conference on pervasive computing (icpc)::2015,2015,2015,
proceeding::proceedings of the sriwijaya international conference on information technology and its applications (siconian 2019)::2020,2020,2020,
proceeding::proceedings of 7th international conference and workshop on database and expert systems applications: dexa 96::1996,1996,1996,
proceeding::smart::2023,2023,2023,
proceeding::2022 3rd international conference on smart electronics and communication (icosec)::2022,2022,2022,
proceeding::yoga mimamsa::2022,2022,2022,
proceeding::proceedings. the ieee 5th international conference on intelligent transportation systems::2002,2002,2002,
proceeding::2012 second international workshop on developing tools as plug-ins (topi)::2012,2012,2012,
"proceeding::day 3 thu, may 09, 2024::2024",2024,2024,
proceeding::2024 ieee international conference on intelligent signal processing and effective communication technologies (inspect)::2024,2024,2024,
proceeding::journal of clinical oncology::2021,2021,2021,
proceeding::proceedings of the 4th international workshop on knowledge-augmented methods for natural language processing::2025,2025,2025,
proceeding::big data in bioeconomy::2021,2021,2021,
proceeding::2016 advances in wireless and optical communications (rtuwo)::2016,2016,2016,
proceeding::lecture notes in computer science::2016,2016,2016,
proceeding::pharmacy world & science::2004,2004,2004,
"proceeding::2025 6th international conference on big data, artificial intelligence and internet of things engineering (icbaie)::2025",2025,2025,
proceeding::international conference intelligent computing and control systems::2023,2023,2023,
proceeding::spie defense + commercial sensing::2003,2003,2003,
proceeding::2021 ieee international conference on artificial intelligence and computer applications (icaica)::2021,2021,2021,
proceeding::acm sigspatial international workshop on advances in geographic information systems::1998,1998,1998,
proceeding::oceans::2009,2009,2009,
proceeding::ieee india conference::2016,2016,2016,
proceeding::abstracts of the ica::2019,2019,2019,
proceeding::2022 international conference on electronics and renewable systems (icears)::2022,2022,2022,
proceeding::journal of clinical oncology::2023,2023,2023,
proceeding::confluence::2019,2019,2019,
proceeding::journal of optometry::2022,2022,2022,
proceeding::2022 global reliability and prognostics and health management (phm-yantai)::2022,2022,2022,
proceeding::2011 ieee international conference on bioinformatics and biomedicine workshops (bibmw)::2011,2011,2011,
proceeding::proceedings. tenth international workshop on database and expert systems applications. dexa 99::1999,1999,1999,
proceeding::international journal of computer trends and technology::2018,2018,2018,
proceeding::bmc neuroscience::2012,2012,2012,
proceeding::ankara hacı bayram veli üniversitesi i̇ktisadi ve i̇dari bilimler fakültesi dergisi::2022,2022,2022,
proceeding::international workshop on document analysis systems::2016,2016,2016,
proceeding::applied sciences::2023,2023,2023,
proceeding::2024 6th international conference on frontier technologies of information and computer (icftic)::2024,2024,2024,
proceeding::asset analytics::2019,2019,2019,
proceeding::international workshop on multiple classifier systems::2010,2010,2010,
proceeding::circulation::2020,2020,2020,
proceeding::blood::2018,2018,2018,
proceeding::ieee joint international information technology and artificial intelligence conference::2020,2020,2020,
proceeding::otm workshops::2004,2004,2004,
proceeding::geofluids::2021,2021,2021,
proceeding::2012 ieee symposium on robotics and applications (isra)::2012,2012,2012,
proceeding::international journal for research in applied science and engineering technology::2019,2019,2019,
proceeding::international journal of retail & distribution management::2021,2021,2021,
proceeding::environmental evidence::2021,2021,2021,
proceeding::asia pacific symposium on intelligent and evolutionary systems::2025,2025,2025,
proceeding::new trends of research in ontologies and lexical resources::2013,2013,2013,
proceeding::lecture notes in computer science::2015,2015,2015,
proceeding::academic psychiatry::2022,2022,2022,
proceeding::frontiers in education conference::2025,2025,2025,
proceeding::east/west database workshop::1990,1990,1990,
proceeding::defense + commercial sensing::2012,2012,2012,
proceeding::international workshop on the semantic web::2008,2008,2008,
proceeding::indonesian journal of electrical engineering and computer science::2019,2019,2019,
proceeding::the superior journal of physical therapy and rehabilitation::2023,2023,2023,
proceeding::2023 2nd international conference on edge computing and applications (icecaa)::2023,2023,2023,
proceeding::community-built databases::2011,2011,2011,
"proceeding::international conference on technological advances in electrical, electronics and computer engineering::2013",2013,2013,
proceeding::high performance visualization::2012,2012,2012,
proceeding::international journal of advanced computer science and applications::2022,2022,2022,
proceeding::international workshop on data warehousing and olap::2013,2013,2013,
proceeding::international conference on computational intelligence and communication networks::2011,2011,2011,
proceeding::ieee workshop/winter conference on applications of computer vision::2017,2017,2017,
proceeding::2024 international conference on automation and computation (autocom)::2024,2024,2024,
proceeding::economics. law. innovaion::2021,2021,2021,
proceeding::international conference on artificial intelligence and soft computing::2023,2023,2023,
"proceeding::conference, emerging information technology 2005.::2005",2005,2005,
proceeding::international conference on signals and electronic systems::2021,2021,2021,
proceeding::research in international business and finance::2023,2023,2023,
proceeding::acm international workshop on web information and data management::2003,2003,2003,
proceeding::bulletin of the school of oriental and african studies::1987,1987,1987,
proceeding::2010 second international workshop on education technology and computer science::2010,2010,2010,
"proceeding::2023 international conference on research methodologies in knowledge management, artificial intelligence and telecommunication engineering (rmkmate)::2023",2023,2023,
proceeding::bmc genomics::2015,2015,2015,
proceeding::geoinformatics::2006,2006,2006,
proceeding::journal of plant growth regulation::2015,2015,2015,
proceeding::sankhya b::2017,2017,2017,
"proceeding::ideas: jurnal pendidikan, sosial, dan budaya::2022",2022,2022,
"proceeding::proceedings of the first ieee international workshop on sensor network protocols and applications, 2003.::2003",2003,2003,
proceeding::biorxiv::2021,2021,2021,
proceeding::international journal of engineering and technology::2018,2018,2018,
proceeding::international journal of vehicle systems modelling and testing::2020,2020,2020,
proceeding::ieee power & energy society general meeting::2018,2018,2018,
proceeding::perspectives on medical education::2013,2013,2013,
proceeding::moscow university geology bulletin::2016,2016,2016,
proceeding::security and communication networks::2022,2022,2022,
proceeding::stroke::2023,2023,2023,
proceeding::1998 ieee second workshop on multimedia signal processing (cat. no.98ex175)::1998,1998,1998,
proceeding::ieee transactions on industry applications::2010,2010,2010,
proceeding::philosophical transactions of the royal society of london. series a: mathematical and physical sciences::1975,1975,1975,
proceeding::fifth international conference on advanced robotics 'robots in unstructured environments::1991,1991,1991,
proceeding::heart::2014,2014,2014,
proceeding::photonics europe::2014,2014,2014,
proceeding::journal of physics: conference series::2023,2023,2023,
proceeding::2026 5th international informatics and software engineering conference (iisec)::2026,2026,2026,
proceeding::wireless communications and mobile computing::2022,2022,2022,
proceeding::pharmacoeconomics & outcomes news::2017,2017,2017,
proceeding::malaysian journal of learning & instruction::2022,2022,2022,
proceeding::international conference on crowd science and engineering::2014,2014,2014,
proceeding::2010 ieee international conference on bioinformatics and biomedicine workshops (bibmw)::2010,2010,2010,
proceeding::matec web of conferences::2019,2019,2019,
"proceeding::proceedings of the 2nd international conference on economy, management and entrepreneurship (icoeme 2019)::2019",2019,2019,
proceeding::aiaa aviation 2022 forum::2022,2022,2022,
"proceeding::proceedings of the 2nd international conference on mathematical statistics and economic analysis, msea 2023, may 26–28, 2023, nanjing, china::2023",2023,2023,
proceeding::circulo de linguistica aplicada a la comunicacion::2020,2020,2020,
proceeding::other conferences::2024,2024,2024,
"proceeding::2023 international conference on network, multimedia and information technology (nmitcon)::2023",2023,2023,
proceeding::australian journal of agricultural and resource economics::2022,2022,2022,
proceeding::other conferences::2023,2023,2023,
proceeding::computational continuum mechanics::2020,2020,2020,
proceeding::third international workshop on hardware/software codesign::1994,1994,1994,
proceeding::2006 international telecommunications symposium::2006,2006,2006,
proceeding::ieee international workshop on multimedia signal processing::2014,2014,2014,
proceeding::medrxiv::2021,2021,2021,
proceeding::machines::2023,2023,2023,
proceeding::2009 first workshop on hyperspectral image and signal processing: evolution in remote sensing::2009,2009,2009,
proceeding::bmc neuroscience::2013,2013,2013,
proceeding::journal of the geological society of india::2014,2014,2014,
"proceeding::proceedings of the 3rd international conference on public administration and governance, icopag 2024, 30 october 2024, malang, indonesia::2025",2025,2025,
proceeding::earth system science data::2018,2018,2018,
proceeding::dharmas education journal (de_journal)::2021,2021,2021,
proceeding::review of agricultural and applied economics::2019,2019,2019,
proceeding::journal of clinical and nursing research::2022,2022,2022,
proceeding::2023 ieee/cvf conference on computer vision and pattern recognition workshops (cvprw)::2023,2023,2023,
"proceeding::international journal on advanced science, engineering and information technology::2021",2021,2021,
proceeding::hernia::2010,2010,2010,
proceeding::inflammation::2011,2011,2011,
"proceeding::long island systems, applications and technology conference::2018",2018,2018,
proceeding::social science research network::2019,2019,2019,
proceeding::journal of sport management::2022,2022,2022,
proceeding::frontiers in earth science::2021,2021,2021,
"proceeding::emc europe 2004, international symposium on electromagnetic compatibility::2004",2004,2004,
proceeding::international journal of technology::2018,2018,2018,
"proceeding::2025 3rd international conference on iot, communication and automation technology (icicat)::2025",2025,2025,
proceeding::water::2022,2022,2022,
proceeding::mathematical methods of statistics::2013,2013,2013,
proceeding::ecoscience::2018,2018,2018,
proceeding::jurnal basis::2019,2019,2019,
proceeding::public organization review::2020,2020,2020,
proceeding::2023 international conference on self sustainable artificial intelligence systems (icssas)::2023,2023,2023,
proceeding::2024 ieee international conference on communications workshops (icc workshops)::2024,2024,2024,
"proceeding::environment, development and sustainability::2020",2020,2020,
proceeding::proceedings of the royal society a::2008,2008,2008,
proceeding::2019 international conference on intelligent informatics and biomedical sciences (iciibms)::2019,2019,2019,
proceeding::international workshop on complex networks & their applications::2020,2020,2020,
proceeding::journal of economic inequality::2017,2017,2017,
proceeding::journal of cardiac failure::2019,2019,2019,
proceeding::ieee international geoscience and remote sensing symposium::2025,2025,2025,
proceeding::oceans 2019 mts/ieee seattle::2019,2019,2019,
proceeding::journal of investigative dermatology::2018,2018,2018,
"proceeding::international conference on remote sensing, environment and transportation engineering::2011",2011,2011,
proceeding::iop conference series: earth and environment::2018,2018,2018,
proceeding::journal of solution chemistry::2022,2022,2022,
proceeding::journal of coastal research::2018,2018,2018,
proceeding::nature clinical practice gastroenterology &hepatology::2008,2008,2008,
"proceeding::international conference on networking, sensing and control::2009",2009,2009,
proceeding::international symposium on applied machine intelligence and informatics::2021,2021,2021,
proceeding::atmospheric and ocean optics::2021,2021,2021,
proceeding::ieee international conference on mobile adhoc and sensor systems::2023,2023,2023,
proceeding::journal of physics d: applied physics::2018,2018,2018,
proceeding::agricultural economics (zemědělská ekonomika)::2018,2018,2018,
proceeding::applied physics a::2016,2016,2016,
proceeding::spie optics + photonics::2006,2006,2006,
proceeding::2019 asee zone i conference &amp; workshop proceedings::2019,2019,2019,
proceeding::cartography and geographic information science::2022,2022,2022,
proceeding::jurnal unitek::2022,2022,2022,
proceeding::parent training for disruptive behavior::2018,2018,2018,
proceeding::conference proceedings::2019,2019,2019,
proceeding::journal of the indonesian society of integrated chemistry::2019,2019,2019,
proceeding::food security::2019,2019,2019,
proceeding::journal of advertising research::2018,2018,2018,
proceeding::regional geology reviews::2019,2019,2019,
"proceeding::ubiquitous computing, electronics & mobile communication conference::2025",2025,2025,
proceeding::ekonomika a spoločnosť::2022,2022,2022,
proceeding::turkish journal of agriculture - food science and technology::2021,2021,2021,
proceeding::workshop on cognitive aspects of the lexicon::2024,2024,2024,
proceeding::geophysics::2018,2018,2018,
