proceedingId,editionNumber,year,city
proceeding::loughborough antennas and propagation conference::2010,2010,2010,
proceeding::medical mycology::2022,2022,2022,
proceeding::international journal of geotechnical engineering::2019,2019,2019,
proceeding::2022 ieee nigeria 4th international conference on disruptive technologies for sustainable development (nigercon)::2022,2022,2022,
proceeding::proceedings of the 30th international conference on computer graphics and machine vision (graphicon 2020). part 2::2020,2020,2020,
proceeding::mineralogical magazine::1979,1979,1979,
proceeding::international middle east power systems conference::2016,2016,2016,
proceeding::qualitative research in financial markets::2022,2022,2022,
proceeding::[1990] proceedings. the twenty-second southeastern symposium on system theory::1990,1990,1990,
proceeding::engineering and technology journal::2022,2022,2022,
proceeding::asia communications and photonics conference and exhibition::2009,2009,2009,
proceeding::2023 ieee 4th china international youth conference on electrical engineering (ciycee)::2023,2023,2023,
proceeding::journal of immunology::2015,2015,2015,
proceeding::chemické zvesti::2016,2016,2016,
proceeding::indonesian journal of agricultural research::2021,2021,2021,
proceeding::journal of applied statistics::2019,2019,2019,
proceeding::journal of geophysical research: atmospheres::2018,2018,2018,
proceeding::proceedings of 2011 6th international forum on strategic technology::2011,2011,2011,
proceeding::analytical chemistry::2002,2002,2002,
proceeding::linguistics and culture review::2021,2021,2021,
proceeding::2010 11th specialist meeting on microwave radiometry and remote sensing of the environment::2010,2010,2010,
proceeding::clinical phytoscience::2022,2022,2022,
proceeding::2025 international conference on sustainable communication networks and application (icscn)::2025,2025,2025,
proceeding::feminist economics::2022,2022,2022,
proceeding::international journal of health sciences::2021,2021,2021,
proceeding::earthquake engineering and engineering vibration::2019,2019,2019,
proceeding::inflammatory bowel diseases::2010,2010,2010,
proceeding::international journal of agricultural economics::2020,2020,2020,
proceeding::cancer research::2022,2022,2022,
proceeding::jurnal paedagogy::2021,2021,2021,
proceeding::sustainability::2022,2022,2022,
proceeding::conference on lasers and electro-optics::2002,2002,2002,
proceeding::american journal of epidemiology::2009,2009,2009,
proceeding::medrxiv::2024,2024,2024,
proceeding::volume 2: advanced manufacturing::2025,2025,2025,
proceeding::2025 ieee international conference on advanced systems and emergent technologies (ic_aset)::2025,2025,2025,
proceeding::letters in spatial and resource sciences::2022,2022,2022,
proceeding::proceedings of 23rd scientific conference “scientific services & internet – 2021”::2021,2021,2021,
proceeding::2006 2nd international conference on information & communication technologies::2006,2006,2006,
proceeding::journal of immunology::2011,2011,2011,
proceeding::efsa supporting publications::2019,2019,2019,
proceeding::international conference on power electronics and artificial intelligence::2025,2025,2025,
proceeding::conference on designing for user experiences::2018,2018,2018,
proceeding::advances in data mining and database management::2018,2018,2018,
proceeding::telemedicine journal and e-health::2022,2022,2022,
proceeding::european annals of otorhinolaryngology head and neck diseases::2016,2016,2016,
proceeding::chemcatchem::2020,2020,2020,
proceeding::international symposium on multispectral image processing and pattern recognition::2009,2009,2009,
proceeding::atmospheric and ocean optics::2004,2004,2004,
proceeding::journal of low temperature physics::2020,2020,2020,
proceeding::international conference on contemporary computing::2025,2025,2025,
proceeding::2024 second international conference on data science and information system (icdsis)::2024,2024,2024,
proceeding::research technology management::2022,2022,2022,
proceeding::international journal for research in applied science and engineering technology::2022,2022,2022,
proceeding::open information science::2020,2020,2020,
proceeding::journal of applied remote sensing::2020,2020,2020,
proceeding::international conference on graphic and image processing::2011,2011,2011,
proceeding::jurnal pendidikan teknologi dan kejuruan::2018,2018,2018,
proceeding::journal of physics: conference series::2021,2021,2021,
proceeding::batteries::2023,2023,2023,
proceeding::youth academic annual conference of chinese association of automation::2024,2024,2024,
proceeding::ra journal of applied research::2022,2022,2022,
proceeding::innovare journal of medical sciences::2021,2021,2021,
proceeding::2023 3rd international conference on innovative practices in technology and management (iciptm)::2023,2023,2023,
proceeding::international journal of emerging trends in engineering research::2020,2020,2020,
proceeding::2025 5th international conference on expert clouds and applications (icoeca)::2025,2025,2025,
proceeding::quarterly journal of the royal meteorological society::2020,2020,2020,
proceeding::ieee spectrum::1978,1978,1978,
proceeding::journal of petroleum technology::2022,2022,2022,
proceeding::indian journal of computer science and engineering::2021,2021,2021,
proceeding::international journal of population data science::2018,2018,2018,
proceeding::archives of virology::2017,2017,2017,
proceeding::microscopy and microanalysis::2018,2018,2018,
proceeding::lecture notes in electrical engineering::2018,2018,2018,
proceeding::frontiers of chemical science and engineering::2022,2022,2022,
proceeding::critical social policy::2019,2019,2019,
proceeding::2016 30th international conference on advanced information networking and applications workshops (waina)::2016,2016,2016,
"proceeding::2022 international conference on intelligent technology, system and service for internet of everything (itss-ioe)::2022",2022,2022,
proceeding::international conference computing methodologies and communication::2020,2020,2020,
proceeding::applied sciences::2018,2018,2018,
proceeding::the social science::2022,2022,2022,
proceeding::2022 2nd international conference on electronic information technology and smart agriculture (iceitsa)::2022,2022,2022,
proceeding::international journal of humanities and social sciences::2020,2020,2020,
proceeding::advances in library and information science::2021,2021,2021,
proceeding::nature physics::2011,2011,2011,
proceeding::frontiers of engineering management::2019,2019,2019,
proceeding::international conference on information science and engineering::2019,2019,2019,
proceeding::intelligent and fuzzy techniques in big data analytics and decision making::2019,2019,2019,
proceeding::aeronautics and aerospace open access journal::2019,2019,2019,
proceeding::sustainability::2018,2018,2018,
"proceeding::2022 smart technologies, communication and robotics (stcr)::2022",2022,2022,
proceeding::american statistician::2019,2019,2019,
proceeding::caml review / revue de l acbm::2001,2001,2001,
proceeding::european journal of training and development::2019,2019,2019,
proceeding::2024 international conference on advances in electrical engineering and computer applications (aeeca)::2024,2024,2024,
proceeding::proceedings of the 2024 9th international conference on cyber security and information engineering::2024,2024,2024,
proceeding::the aesthetics and politics of the online self::2016,2016,2016,
proceeding::advanced computing in industrial mathematics::2017,2017,2017,
proceeding::physics in perspective::2016,2016,2016,
proceeding::live campaigns::2018,2018,2018,
proceeding::journal of transport geography::2021,2021,2021,
proceeding::acm cloud and autonomic computing conference::2024,2024,2024,
proceeding::2020 international conference on educational training and educational phenomena (icetep2020)::2020,2020,2020,
proceeding::2019 ieee 8th international conference on advanced power system automation and protection (apap)::2019,2019,2019,
proceeding::sustainability::2023,2023,2023,
proceeding::journal of animal science::2021,2021,2021,
proceeding::journal of southern hemisphere earth systems science::2020,2020,2020,
proceeding::bandung conference series: statistics::2022,2022,2022,
"proceeding::proceedings of the 2022 international conference on computer science, information engineering and digital economy (csiede 2022)::2022",2022,2022,
proceeding::proceedings of the international conference on policies and economics measures for agricultural development (agrodeveco 2020)::2020,2020,2020,
proceeding::2022 2nd international conference on big data engineering and education (bdee)::2022,2022,2022,
proceeding::hydrology and earth system sciences::2020,2020,2020,
proceeding::al-ishlah: jurnal pendidikan::2022,2022,2022,
proceeding::ieee transactions on applied superconductivity::2016,2016,2016,
proceeding::international journal of recent technology and engineering::2019,2019,2019,
proceeding::intersections::2019,2019,2019,
proceeding::china economic review::2017,2017,2017,
proceeding::data intensive storage services for cloud environments::2013,2013,2013,
proceeding::chinese control and decision conference::2020,2020,2020,
"proceeding::international conference on computing, communication and automation::2021",2021,2021,
"proceeding::ieee uttar pradesh section international conference on electrical, computer and electronics engineering::2022",2022,2022,
proceeding::ecs transactions::2022,2022,2022,
proceeding::journal of computer science::2019,2019,2019,
proceeding::headache::2014,2014,2014,
proceeding::international journal of innovative technology and exploring engineering::2020,2020,2020,
"proceeding::ieee symposium on business, engineering and industrial applications::2011",2011,2011,
proceeding::2024 ivannikov memorial workshop (ivmem)::2024,2024,2024,
proceeding::international conference on electrical engineering and informatics::2017,2017,2017,
proceeding::muhammadiyah international public health and medicine proceeding::2021,2021,2021,
proceeding::engineering headway::2026,2026,2026,
proceeding::aina workshops::2019,2019,2019,
proceeding::jurnal ilmiah teunuleh::2021,2021,2021,
proceeding::2023 international conference on artificial intelligence for innovations in healthcare industries (icaiihi)::2023,2023,2023,
"proceeding::proceedings of the proceedings of 1st workshop on environmental science, society, and technology, westech 2018, december 8th, 2018, medan, indonesia::2019",2019,2019,
proceeding::2021 international conference on big data analysis and computer science (bdacs)::2021,2021,2021,
proceeding::2020 6th international conference on big data and information analytics (bigdia)::2020,2020,2020,
proceeding::ieee conference on industrial electronics and applications::2007,2007,2007,
proceeding::sirius - zeitschrift für strategische analysen::2022,2022,2022,
proceeding::grenek music journal::2018,2018,2018,
proceeding::synthesis lectures on communications::2012,2012,2012,
proceeding::international journal of electrical and computer engineering (ijece)::2021,2021,2021,
proceeding::social science research network::2014,2014,2014,
proceeding::anais do brazilian e-science workshop (bresci)::2018,2018,2018,
proceeding::tecciencia::2020,2020,2020,
proceeding::international conference civil engineering and architecture::2024,2024,2024,
proceeding::2022 moscow workshop on electronic and networking technologies (mwent)::2022,2022,2022,
"proceeding::2018 international conference on information , communication, engineering and technology (icicet)::2018",2018,2018,
proceeding::smart::2016,2016,2016,
proceeding::international journal of emerging trends in social sciences::2019,2019,2019,
proceeding::conference on industrial electronics and applications::2021,2021,2021,
proceeding::applied sciences::2019,2019,2019,
"proceeding::international conference on intelligent transportation, big data and smart city::2019",2019,2019,
proceeding::2022 international conference on artificial intelligence and autonomous robot systems (aiars)::2022,2022,2022,
proceeding::international conferences on innovation in artificial intelligence::2018,2018,2018,
proceeding::advances in building energy research::2020,2020,2020,
"proceeding::international symposium on robotics, artificial intelligence, and information engineering::2022",2022,2022,
proceeding::genome biology::2019,2019,2019,
proceeding::other conferences::2021,2021,2021,
proceeding::encyclopedia of big data technologies::2019,2019,2019,
proceeding::elipsoida::2018,2018,2018,
proceeding::ieee joint international information technology and artificial intelligence conference::2019,2019,2019,
proceeding::the journal of environmental education::2021,2021,2021,
proceeding::advances in intelligent systems and computing::2018,2018,2018,
proceeding::big earth data::2022,2022,2022,
"proceeding::2018 eleventh international conference ""management of large-scale system development"" (mlsd::2018",2018,2018,
proceeding::vidya karya::2018,2018,2018,
proceeding::iop conference series: earth and environment::2020,2020,2020,
proceeding::journal of it cases and applications::2021,2021,2021,
"proceeding::proceedings of the 2020 4th international seminar on education, management and social sciences (isemss 2020)::2020",2020,2020,
proceeding::sae technical paper series::2024,2024,2024,
proceeding::competition commission of india journal on competition law and policy::2022,2022,2022,
proceeding::revista eletrônica da educação::2021,2021,2021,
proceeding::solar physics::2013,2013,2013,
proceeding::journal of engineering for gas turbines and power::2019,2019,2019,
proceeding::medical imaging::2000,2000,2000,
proceeding::physiological zoology::1937,1937,1937,
proceeding::i-manager's journal on computer science::2021,2021,2021,
proceeding::international conference on information control systems & technologies::2018,2018,2018,
proceeding::ieee transactions on industrial informatics::2021,2021,2021,
proceeding::discover food::2024,2024,2024,
proceeding::international workshop on signal processing advances in wireless communications::2023,2023,2023,
"proceeding::convergence of blockchain, ai, and iot::2021",2021,2021,
proceeding::international conference on big data computing service and applications::2022,2022,2022,
proceeding::2015 ieee international conference on data mining workshop (icdmw)::2015,2015,2015,
proceeding::philosophical literary journal logos::2022,2022,2022,
proceeding::inovasi manajemen dan kebijakan publik::2020,2020,2020,
proceeding::crime prevention and justice in 2030::2020,2020,2020,
"proceeding::2019 ieee 3rd information technology, networking, electronic and automation control conference (itnec)::2019",2019,2019,
proceeding::saudi journal of business and management studies::2019,2019,2019,
proceeding::international journal of innovative technology and exploring engineering::2019,2019,2019,
proceeding::the teacher of the future::2019,2019,2019,
proceeding::jom::2023,2023,2023,
proceeding::2021 international conference on electronic information engineering and computer science (eiecs)::2021,2021,2021,
proceeding::proceedings of the 2019 international spbpu scientific conference on innovations in digital economy::2019,2019,2019,
"proceeding::2023 2nd international conference on cloud computing, big data application and software engineering (cbase)::2023",2023,2023,
"proceeding::2023 third international conference on advances in electrical, computing, communication and sustainable technologies (icaect)::2023",2023,2023,
proceeding::pediatric hematology & oncology::2011,2011,2011,
proceeding::health science inquiry::2019,2019,2019,
proceeding::2014 ieee symposium on computer applications and communications::2014,2014,2014,
proceeding::smart structures and materials + nondestructive evaluation and health monitoring::2023,2023,2023,
proceeding::2025 international conference on knowledge engineering and communication systems (ickecs)::2025,2025,2025,
proceeding::2025 international conference on emerging trends in networks and computer communications (etncc)::2025,2025,2025,
proceeding::مجلة الجمعیة المصریة لنظم المعلومات وتکنولوجیا الحاسبات::2021,2021,2021,
proceeding::digital technologies and applications::2021,2021,2021,
proceeding::visión electrónica::2019,2019,2019,
proceeding::advances in civil and industrial engineering::2019,2019,2019,
proceeding::2016 ieee/acm 2nd international workshop on big data software engineering (bigdse)::2016,2016,2016,
proceeding::international conference on applications and techniques in cyber intelligence::2021,2021,2021,
"proceeding::saturday, 16 june 2018::2018",2018,2018,
proceeding::vnu journal of science computer science and communication engineering::2021,2021,2021,
proceeding::ieee pes asia-pacific power and energy engineering conference::2014,2014,2014,
proceeding::high-performance modelling and simulation for big data applications::2019,2019,2019,
proceeding::international journal of information technology and computer science::2019,2019,2019,
proceeding::tawazun: jurnal pendidikan islam::2019,2019,2019,
proceeding::journal of coastal research::2019,2019,2019,
proceeding::2021 5th international conference on trends in electronics and informatics (icoei)::2021,2021,2021,
proceeding::studies in nonlinear dynamics &amp; econometrics::2023,2023,2023,
proceeding::marketing letters::2020,2020,2020,
proceeding::international conference on the digital society::2024,2024,2024,
proceeding::bulletin of social informatics theory and application::2019,2019,2019,
proceeding::2020 6th iranian conference on signal processing and intelligent systems (icspis)::2020,2020,2020,
proceeding::anais do(a) congresso internacional de direitos humanos de coimbra::2023,2023,2023,
proceeding::alzheimer's & dementia::2019,2019,2019,
proceeding::inverse problems::2021,2021,2021,
proceeding::bulletin of the school of oriental and african studies::1993,1993,1993,
"proceeding::2025 international conference on algorithm, artificial intelligence and computer vision (aaicv)::2025",2025,2025,
proceeding::auditing::2020,2020,2020,
proceeding::jurnal eksplorasi akuntansi::2022,2022,2022,
"proceeding::2025 international conference on computer science, technology and engineering (iccste)::2025",2025,2025,
proceeding::service business: an international journal::2021,2021,2021,
proceeding::aoir selected papers of internet research::2021,2021,2021,
proceeding::new media & society::2019,2019,2019,
proceeding::vestnik of saint petersburg university. international relations::2022,2022,2022,
proceeding::current issues in personality psychology::2020,2020,2020,
proceeding::mobile information systems::2022,2022,2022,
proceeding::formula 4.0 for digital transformation::2018,2018,2018,
proceeding::international journal of engineering technology and management sciences::2020,2020,2020,
"proceeding::economics, taxes &amp; law::2023",2023,2023,
proceeding::international journal of sustainable development and planning::2023,2023,2023,
proceeding::frontiers in earth science::2023,2023,2023,
proceeding::2021 2nd international conference on artificial intelligence and education (icaie)::2021,2021,2021,
proceeding::international conference on transportation information and safety::2023,2023,2023,
proceeding::international conference on frontiers of educational technologies::2019,2019,2019,
proceeding::inverse problems and imaging::2019,2019,2019,
proceeding::2022 international conference on knowledge engineering and communication systems (ickes)::2022,2022,2022,
proceeding::congresso brasileiro de mecânica dos solos e engenharia geotécnica::2020,2020,2020,
proceeding::vestnik tomskogo gosudarstvennogo universiteta kul turologiya i iskusstvovedenie::2022,2022,2022,
proceeding::international journal of operations & production management::2019,2019,2019,
proceeding::european journal of sustainable development::2018,2018,2018,
proceeding::information security practice and experience::2020,2020,2020,
"proceeding::2017 international conference on computer systems, electronics and control (iccsec)::2017",2017,2017,
proceeding::genitourinary medicine::1997,1997,1997,
proceeding::big data intelligence for smart applications::2022,2022,2022,
proceeding::2020 5th ieee international conference on big data analytics (icbda)::2020,2020,2020,
proceeding::2016 ieee international conference on knowledge engineering and applications (ickea)::2016,2016,2016,
proceeding::clinical infectious diseases::2015,2015,2015,
proceeding::journal of risk analysis and crisis response (jracr)::2022,2022,2022,
proceeding::journal of korea research association of international commerce::2019,2019,2019,
"proceeding::2017 3rd international conference on control, automation and robotics (iccar)::2017",2017,2017,
proceeding::2025 international conference on computing technologies & data communication (icctdc)::2025,2025,2025,
"proceeding::international journal of business, management and economics::2021",2021,2021,
proceeding::molecular and cellular biology / genetics::2019,2019,2019,
proceeding::journal für verbraucherschütz und lebensmittelsicherheit::2010,2010,2010,
proceeding::the handbook of china's financial system::2020,2020,2020,
proceeding::journal of plant nutrition::2020,2020,2020,
proceeding::journal of the institution of engineers (india) series d::2021,2021,2021,
proceeding::artery research::2017,2017,2017,
proceeding::the future life of trauma::2020,2020,2020,
"proceeding::saturday, 15 june 2019::2019",2019,2019,
proceeding::journal of urbanism: international research on placemaking and urban sustainability::2021,2021,2021,
proceeding::ieee international conference on grey systems and intelligent services::2009,2009,2009,
proceeding::journal of food and nutrition research::2018,2018,2018,
proceeding::life after privacy::2020,2020,2020,
proceeding::jornal de pediatria::2017,2017,2017,
"proceeding::proceedings of the 48th international academic conference, copenhagen::2019",2019,2019,
proceeding::landslides::2021,2021,2021,
"proceeding::slavic review: interdisciplinary quarterly of russian, eurasian, and east european studies::1992",1992,1992,
proceeding::pharmacoeconomics & outcomes news::2013,2013,2013,
proceeding::optical and quantum electronics::2020,2020,2020,
proceeding::bmj open::2021,2021,2021,
proceeding::journal of neuroengineering and rehabilitation::2021,2021,2021,
proceeding::optoelectronics letters::2016,2016,2016,
proceeding::international conference on industrial technology::2015,2015,2015,
proceeding::in the shadow of the epidemic::2020,2020,2020,
proceeding::scientific investigations report::2020,2020,2020,
proceeding::european workshop on optical fibre sensors::2016,2016,2016,
proceeding::chen yi::2020,2020,2020,
proceeding::journal of high energy physics::2017,2017,2017,
proceeding::iop conference series: materials science and engineering::2018,2018,2018,
proceeding::international symposium on optomechatronic technologies::2010,2010,2010,
proceeding::hormones::2014,2014,2014,
proceeding::modern network technologies::2024,2024,2024,
proceeding::applied mathematics and mechanics::2012,2012,2012,
proceeding::definitions::2020,2020,2020,
proceeding::akuntabilitas::2020,2020,2020,
proceeding::sexually transmitted diseases::2014,2014,2014,
proceeding::international conference on optoelectronic and microelectronic technology and application::2020,2020,2020,
proceeding::aerosol and air quality research::2013,2013,2013,
proceeding::geomagnetism and aeronomy::2014,2014,2014,
proceeding::paripex-indian journal of research::2022,2022,2022,
proceeding::optics communications::2020,2020,2020,
proceeding::college literature::2020,2020,2020,
proceeding::biorxiv::2024,2024,2024,
proceeding::business and economic research::2020,2020,2020,
proceeding::advances in design and control::2012,2012,2012,
proceeding::2020 the 4th international conference on business and information management::2020,2020,2020,
proceeding::journal of asian studies::1978,1978,1978,
proceeding::comparative clinical pathology::2016,2016,2016,
proceeding::resources for american literary study::2006,2006,2006,
proceeding::international and comparative law quarterly::1984,1984,1984,
proceeding::optics + photonics::2001,2001,2001,
proceeding::child indicators research::2015,2015,2015,
proceeding::teorìâ ta metodika fìzičnogo vihovannâ::2021,2021,2021,
proceeding::the cambridge law journal::1987,1987,1987,
proceeding::the creolization of theory::2020,2020,2020,
proceeding::european heart journal::2019,2019,2019,
proceeding::mathematics::2019,2019,2019,
proceeding::revista tecnología en marcha::2022,2022,2022,
proceeding::revista bibliomar::2021,2021,2021,
proceeding::medical herald of the south of russia::2019,2019,2019,
proceeding::journal of physics: conference series::2020,2020,2020,
proceeding::2009 ieee globecom workshops::2009,2009,2009,
proceeding::progress in electromagnetics research letters::2020,2020,2020,
proceeding::journal of food measurement & characterization::2022,2022,2022,
proceeding::medrxiv::2020,2020,2020,
proceeding::catena::2019,2019,2019,
proceeding::optics & photonics::1999,1999,1999,
proceeding::annals of surgical oncology::2022,2022,2022,
proceeding::agile auditing::2021,2021,2021,
proceeding::indian journal of transplantation::2021,2021,2021,
proceeding::aquatic ecology::2012,2012,2012,
proceeding::revista de la sociedad entomológica argentina::2019,2019,2019,
proceeding::intertextual explorations in deuterocanonical and cognate literature::2019,2019,2019,
proceeding::journal of petroleum science and engineering::2018,2018,2018,
proceeding::journal of business-to-business marketing::2019,2019,2019,
proceeding::business history review::2006,2006,2006,
proceeding::european journal of soil science::2020,2020,2020,
proceeding::applied physics a::2022,2022,2022,
"proceeding::the handbook of race, ethnicity, crime, and justice::2018",2018,2018,
proceeding::international journal of business technology and organizational behavior (ijbtob)::2022,2022,2022,
proceeding::communications in mathematics and statistics::2016,2016,2016,
proceeding::conference record of ieee international symposium on electrical insulation::2006,2006,2006,
proceeding::journal of thoracic disease::2019,2019,2019,
proceeding::2008 10th anniversary international conference on transparent optical networks::2008,2008,2008,
proceeding::nature::1927,1927,1927,
proceeding::ichthyological research::2009,2009,2009,
proceeding::applied mathematics and control sciences::2021,2021,2021,
proceeding::renewable energy::2020,2020,2020,
proceeding::journal of pharmaceutical research international::2019,2019,2019,
proceeding::international conference on optical communications and networks::2023,2023,2023,
proceeding::tropical animal health and production::2016,2016,2016,
proceeding::revista de economía y estadística::2022,2022,2022,
proceeding::world health organization::1993,1993,1993,
proceeding::edinburgh medical journal::1916,1916,1916,
"proceeding::sustainability accounting, management and policy journal::2020",2020,2020,
proceeding::down from olympus::2020,2020,2020,
proceeding::dialogue::1986,1986,1986,
proceeding::british journal of pharmacology::2021,2021,2021,
proceeding::the classical review::1994,1994,1994,
proceeding::scientific reports::2018,2018,2018,
"proceeding::clinical respiratory physiology, exercise and functional imaging::2019",2019,2019,
proceeding::hormone research in paediatrics::2006,2006,2006,
"proceeding::african journal of hospitality, tourism and leisure::2022",2022,2022,
proceeding::acs photonics::2019,2019,2019,
proceeding::the godman and the sea::2020,2020,2020,
proceeding::national association of korean local government studies::2023,2023,2023,
proceeding::proceedings of 2011 ieee cie international conference on radar::2011,2011,2011,
proceeding::laboratoriums medizin::2014,2014,2014,
proceeding::annals of public health reports::2020,2020,2020,
proceeding::developments in petroleum science::2021,2021,2021,
proceeding::2013 ieee 8th conference on industrial electronics and applications (iciea)::2013,2013,2013,
proceeding::crustaceana::2021,2021,2021,
proceeding::pediatrics::1965,1965,1965,
proceeding::administrative law::2019,2019,2019,
proceeding::2023 2nd international symposium on aerospace engineering and systems (isaes)::2023,2023,2023,
proceeding::age of empires::2021,2021,2021,
proceeding::optics communications::2019,2019,2019,
"proceeding::research in agriculture, livestock and fisheries::2019",2019,2019,
proceeding::the law of international organisations (third edition)::2020,2020,2020,
"proceeding::the complete letters of henry james, 1884–1886::2020",2020,2020,
proceeding::biorxiv::2017,2017,2017,
proceeding::journal of modern optics::2018,2018,2018,
proceeding::natural hazards::2021,2021,2021,
proceeding::kvasny prumysl::2022,2022,2022,
proceeding::optical engineering: the journal of spie::2023,2023,2023,
proceeding::international forum on research and technologies for society and industry leveraging a better tomorrow::2001,2001,2001,
proceeding::the american journal of digestive diseases::2005,2005,2005,
proceeding::international journal of current microbiology and applied sciences::2019,2019,2019,
proceeding::journal of sustainable finance & investment::2020,2020,2020,
proceeding::clinical nutrition::2019,2019,2019,
proceeding::plant systematics and evolution::2017,2017,2017,
proceeding::international journal of vehicle structures and systems::2022,2022,2022,
proceeding::pediatric research::1984,1984,1984,
proceeding::pediatrics in review::2012,2012,2012,
proceeding::agronomy::2022,2022,2022,
"proceeding::studies in systems, decision and control::2021",2021,2021,
proceeding::international soil and water conservation research::2020,2020,2020,
proceeding::reactions weekly::2021,2021,2021,
